Democracy Index 2015,,,,,,,,
Rank,Country,Score,"Electoral process
and pluralism","Functioning of
government","Political
participation","Political
culture","Civil
liberties",Category
54, Hungary,6.84,9.17,6.07,4.44,6.88,7.65,Flawed democracy
56, Suriname,6.77,9.17,6.43,5,5,8.24,Flawed democracy
57, Tunisia,6.72,7,6.07,7.78,6.88,5.88,Flawed democracy
58, Serbia,6.71,9.17,5.36,6.67,5,7.35,Flawed democracy
59, Romania,6.68,9.17,5.71,5,5,8.53,Flawed democracy
60, Dominican Republic,6.67,8.75,5.71,5,6.25,7.65,Flawed democracy
61, El Salvador,6.64,9.17,6.07,4.44,5,8.53,Flawed democracy
62, Mongolia,6.62,9.17,5.71,5,5,8.24,Flawed democracy
62, Colombia,6.62,9.17,7.14,3.89,4.38,8.53,Flawed democracy
64, Lesotho,6.59,8.25,5.36,6.67,5.63,7.06,Flawed democracy
65, Peru,6.58,9.17,5,6.11,4.38,8.24,Flawed democracy
66, Mexico,6.55,8.33,6.07,7.22,4.38,6.76,Flawed democracy
67, Hong Kong,6.5,4.33,5.71,5.56,7.5,9.41,Flawed democracy
68, Malaysia,6.43,6.92,7.86,5.56,6.25,5.59,Flawed democracy
69, Sri Lanka,6.42,7.83,6.79,5,6.88,5.59,Flawed democracy
70, Moldova,6.35,7.92,4.29,6.67,4.38,8.53,Flawed democracy
71, Paraguay,6.33,8.33,5.71,5,4.38,8.24,Flawed democracy
72, Namibia,6.31,5.67,5.36,6.67,5.63,8.24,Flawed democracy
73, Zambia,6.28,7.92,5.36,3.89,6.88,7.35,Flawed democracy
74, Singapore,6.14,4.33,7.5,5.56,6.25,7.06,Flawed democracy
75, Senegal,6.08,7.92,5.36,4.44,5.63,7.06,Flawed democracy
76, Guyana,6.05,7.92,5.36,5.56,4.38,7.06,Flawed democracy
77, Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy
78, Macedonia,6.02,7.33,4.64,6.11,4.38,7.65,Flawed democracy
79, Montenegro,6.01,7.92,5.71,5,4.38,7.06,Flawed democracy
80, Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime
81, Albania,5.91,7,4.36,5.56,5,7.65,Hybrid regime
82, Georgia,5.88,8.67,4.29,5.56,5,5.88,Hybrid regime
83, Ecuador,5.87,8.25,4.64,5,4.38,7.06,Hybrid regime
84, Honduras,5.84,8.75,5.71,3.89,4.38,6.47,Hybrid regime
85, Bolivia,5.75,7,5.36,5,3.75,7.65,Hybrid regime
86, Bangladesh,5.73,7.42,5.07,5,4.38,6.76,Hybrid regime
87, Benin,5.72,6.92,5.71,4.44,5.63,5.88,Hybrid regime
88, Ukraine,5.7,5.83,3.93,6.67,5,7.06,Hybrid regime
88, Mali,5.7,7.42,3.93,4.44,6.25,6.47,Hybrid regime
90, Fiji,5.69,4.58,5.71,6.67,5.63,5.88,Hybrid regime
91, Tanzania,5.58,7,5,5,5.63,5.29,Hybrid regime
92, Malawi,5.55,6.58,4.29,4.44,6.25,6.18,Hybrid regime
93, Kyrgyzstan,5.33,7.83,3.29,5.56,5,5,Hybrid regime
93, Kenya,5.33,4.33,5,6.67,5.63,5,Hybrid regime
95, Nicaragua,5.26,6.17,3.29,4.44,5.63,6.76,Hybrid regime
96, Uganda,5.22,5.67,3.57,4.44,6.25,6.18,Hybrid regime
97, Turkey,5.12,6.67,5.36,5,5.63,2.94,Hybrid regime
98, Thailand,5.09,4.5,3.93,5.56,5,6.47,Hybrid regime
99, Venezuela,5,6.08,3.93,5,4.38,5.59,Hybrid regime
100, Liberia,4.95,7.83,0.79,5.56,5,5.59,Hybrid regime
101, Bhutan,4.93,8.33,5.36,2.78,4.38,3.82,Hybrid regime
102, Lebanon,4.86,4.42,2.14,7.78,4.38,5.59,Hybrid regime
103, Madagascar,4.85,5.5,2.86,5.56,5.63,4.71,Hybrid regime
104, Bosnia and Herzegovina,4.83,6.5,2.93,3.89,4.38,6.47,Hybrid regime
105,   Nepal,4.77,3.92,4.29,4.44,5.63,5.59,Hybrid regime
106, Burkina Faso,4.7,4.42,4.29,4.44,5.63,4.71,Hybrid regime
107, Morocco,4.66,4.75,4.64,3.89,5.63,4.41,Hybrid regime
108, Nigeria,4.62,6.08,4.29,3.33,5,4.41,Hybrid regime
109, Mozambique,4.6,4.42,3.57,5.56,5.63,3.82,Hybrid regime
110, Palestine,4.57,4.75,2.14,7.78,4.38,3.82,Hybrid regime
111, Sierra Leone,4.55,6.58,1.86,2.78,6.25,5.29,Hybrid regime
112, Pakistan,4.4,6,5.71,2.78,2.5,5,Hybrid regime
113, Cambodia,4.27,3.17,5.71,3.33,5,4.12,Hybrid regime
114, Myanmar,4.14,3.17,3.57,4.44,6.88,2.65,Hybrid regime
115, Iraq,4.08,4.33,0.07,7.22,4.38,4.41,Hybrid regime
116, Armenia,4,4.33,2.86,4.44,2.5,5.88,Hybrid regime
117, Mauritania,3.96,3,4.29,5,3.13,4.41,Authoritarian
118, Algeria,3.95,3,2.21,3.89,6.25,4.41,Authoritarian
119, Haiti,3.94,4.75,2.21,2.22,3.75,6.76,Authoritarian
120, Jordan,3.86,3.58,3.93,3.89,4.38,3.53,Authoritarian
121, Kuwait,3.85,3.17,4.29,3.89,4.38,3.53,Authoritarian
121, Niger,3.85,6.25,1.14,2.78,4.38,4.71,Authoritarian
123, Ethiopia,3.83,0,3.57,6.11,5.63,3.82,Authoritarian
124, Gabon,3.76,3,2.21,4.44,5,4.12,Authoritarian
125, Comoros,3.71,4.33,2.21,4.44,3.75,3.82,Authoritarian
126, Cameroon,3.66,2,3.57,3.89,5,3.82,Authoritarian
127, Belarus,3.62,1.75,3.57,3.89,6.25,2.65,Authoritarian
128, Vietnam,3.53,0,3.93,3.89,6.88,2.94,Authoritarian
129, Cuba,3.52,1.75,4.64,3.89,4.38,2.94,Authoritarian
130, Togo,3.41,4,1.14,2.78,5,4.12,Authoritarian
131, Angola,3.35,0.92,3.21,5,4.38,3.24,Authoritarian
132, Ivory Coast,3.31,0,3.21,3.89,5.63,3.82,Authoritarian
132, Russia,3.31,2.67,2.86,5,2.5,3.53,Authoritarian
134, Egypt,3.18,3,2.86,3.33,3.75,2.94,Authoritarian
134, Qatar,3.18,0,3.93,2.22,5.63,4.12,Authoritarian
136, Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian
136, China,3.14,0,4.64,3.33,6.25,1.47,Authoritarian
138, Swaziland,3.09,0.92,2.86,2.22,5.63,3.82,Authoritarian
139, Rwanda,3.07,0.83,5,2.22,4.38,2.94,Authoritarian
140, Kazakhstan,3.06,0.5,2.14,4.44,4.38,3.82,Authoritarian
141, Zimbabwe,3.05,0.5,2,3.89,5.63,3.24,Authoritarian
142, Oman,3.04,0,3.93,2.78,4.38,4.12,Authoritarian
143, Gambia,2.97,1.33,3.93,2.22,5,2.35,Authoritarian
144, Democratic Republic of the Congo,2.91,1.67,2.86,3.33,3.75,2.94,Authoritarian
145, Djibouti,2.9,0.42,2.5,3.33,5.63,2.65,Authoritarian
146, Bahrain,2.79,1.25,3.21,2.78,4.38,2.35,Authoritarian
147, Afghanistan,2.77,2.5,1.14,3.89,2.5,3.82,Authoritarian
148, United Arab Emirates,2.75,0,3.57,2.22,5,2.94,Authoritarian
149, Azerbaijan,2.71,0.5,2.14,3.33,3.75,3.82,Authoritarian
150, Burundi,2.49,0.5,0.43,3.89,5,2.65,Authoritarian
151, Sudan,2.37,0,1.79,3.89,5,1.18,Authoritarian
151, Eritrea,2.37,0,2.14,1.67,6.88,1.18,Authoritarian
153, Libya,2.25,1,0,1.67,5.63,2.94,Authoritarian
154, Yemen,2.24,0.5,0.36,4.44,5,0.88,Authoritarian
155, Laos,2.21,0,3.21,1.67,5,1.18,Authoritarian
156, Iran,2.16,0,2.86,3.33,3.13,1.47,Authoritarian
157, Republic of the Congo,2.11,0.92,0.71,2.78,4.38,1.76,Authoritarian
158, Uzbekistan,1.95,0.08,1.86,2.22,5,0.59,Authoritarian
158, Tajikistan,1.95,0.58,0.07,1.67,6.25,1.18,Authoritarian
160, Guinea-Bissau,1.93,1.67,0,2.78,3.13,2.06,Authoritarian
160, Saudi Arabia,1.93,0,2.86,2.22,3.13,1.47,Authoritarian
162, Turkmenistan,1.83,0,0.79,2.78,5,0.59,Authoritarian
163, Equatorial Guinea,1.77,0,0.79,2.22,4.38,1.47,Authoritarian
164, Central African Republic,1.57,1.33,0,1.67,2.5,2.35,Authoritarian
165, Chad,1.5,0,0,1.11,3.75,2.65,Authoritarian
166, Syria,1.43,0,0,2.78,4.38,0,Authoritarian
167, North Korea,1.08,0,2.5,1.67,1.25,0,Authoritarian
